id,modelo,timestamp,consulta,ncm,descricao,atributos,atributos_tipi,valores_impostos,classificacao_tributaria
2025N00034,Nex-0.3-Preview-2024,2025-01-15T12:48:02.977918,carne de frango,02.07.12.00,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05, de galos e de galinhas.","[""Tipo de carne: frango"", ""Forma de apresentação: fresca, refrigerada ou congelada"", ""Partes da ave: não especificado""]","[""Frango""]","{""ipi"": ""0%"", ""icms"": {}, ""pis"": ""Não especificado"", ""cofins"": ""Não especificado""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0%"", ""ipi_saida"": ""0%"", ""pis_entrada"": ""Não especificado"", ""pis_saida"": ""Não especificado"", ""cofins_entrada"": ""Não especificado"", ""cofins_saida"": ""Não especificado"", ""cst_entrada"": ""Não especificado"", ""cst_saida"": ""Não especificado""}"
2025N00035,Nex-0.3-Preview-2024,2025-01-15T12:51:07.939136,carne,02.01.10.00,"Carne de animais da espécie bovina, fresca ou refrigerada.","[""Tipo de carne: bovina"", ""Condição: fresca ou refrigerada"", ""Corte: não especificado""]","[""Carcaças e meias-carcaças"", ""Quartos dianteiros não desossados"", ""Quartos traseiros não desossados""]","{""ipi"": ""0%"", ""icms"": {}, ""pis"": ""0,65%"", ""cofins"": ""3%""}","{""monofasico"": false, ""aliquota_zero"": true, ""ipi_entrada"": ""0%"", ""ipi_saida"": ""0%"", ""pis_entrada"": ""0,65%"", ""pis_saida"": ""0,65%"", ""cofins_entrada"": ""3%"", ""cofins_saida"": ""3%"", ""cst_entrada"": ""06"", ""cst_saida"": ""06""}"
2025N00036,Nex-0.3-Preview-2024,2025-01-15T12:57:25.501097,teclado de plástico,84.71.60.52,Teclados para máquinas automáticas para processamento de dados,"[""Material: plástico"", ""Tipo de conexão: USB ou sem fio"", ""Padrão: ABNT2"", ""Número de teclas: 104 ou 107 teclas"", ""Compatibilidade: computadores e notebooks""]","[""Ex 01 - De uso automotivo"", ""Ex 02 - Teclado musical digital""]","{""ipi"": ""15%"", ""icms"": {}, ""pis"": ""1,65%"", ""cofins"": ""7,6%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""15%"", ""ipi_saida"": ""15%"", ""pis_entrada"": ""1,65%"", ""pis_saida"": ""1,65%"", ""cofins_entrada"": ""7,6%"", ""cofins_saida"": ""7,6%"", ""cst_entrada"": """", ""cst_saida"": """"}"
2025N00037,Nex-0.3-Preview-2024,2025-01-15T18:54:38.098127,carne,,,[],[],{},{}
2025N00038,Nex-0.3-Preview-2024,2025-01-15T18:54:45.331382,carne,,,[],[],{},{}
2025N00039,Nex-0.3-Preview-2024,2025-01-15T19:20:27.650337,carne,,,[],[],{},{}
2025N00040,Nex-0.3-Preview-2024,2025-01-16T17:58:04.883554,carne,02.01.10.00,"Carnes de animais da espécie bovina, frescas ou refrigeradas.","[""Tipo de carne bovina"", ""Corte da carne"", ""Forma de apresentação (com ou sem osso)"", ""Temperatura (fresca ou refrigerada)""]","[""Carcaças e meias-carcaças"", ""Quartos dianteiros não desossados"", ""Quartos traseiros não desossados""]","{""ipi"": ""0%"", ""icms"": {}, ""pis"": ""2,65%"", ""cofins"": ""12,21%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0%"", ""ipi_saida"": ""0%"", ""pis_entrada"": ""2,65%"", ""pis_saida"": ""2,65%"", ""cofins_entrada"": ""12,21%"", ""cofins_saida"": ""12,21%"", ""cst_entrada"": ""50"", ""cst_saida"": ""50""}"
2025N00041,Nex-0.3-Preview-2024,2025-01-16T18:02:19.477026,carne,02.01.10.00,"Carcaças e meias-carcaças de bovino, frescas ou refrigeradas.","[""Carne bovina"", ""Fresca ou refrigerada"", ""Carcaças ou meias-carcaças""]","[""Carcaças e meias-carcaças de bovino, frescas ou refrigeradas""]","{""ipi"": ""0"", ""icms"": {""estado"": """"}, ""pis"": """", ""cofins"": """"}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": """", ""pis_saida"": """", ""cofins_entrada"": """", ""cofins_saida"": """", ""cst_entrada"": """", ""cst_saida"": """"}"
2025N00042,Nex-0.1-Pro-2024,2025-01-16T18:03:05.014291,carne,02.01.30.00,"Carne de bovino, fresca ou refrigerada, desossada","[""Origem animal"", ""Carne bovina"", ""Fresca ou refrigerada"", ""Desossada""]","[""Carne e miudezas, comestíveis"", ""Carne de animais da espécie bovina"", ""Frescas ou refrigeradas"", ""Outras carnes e miudezas, frescas, refrigeradas ou congeladas""]","{""ipi"": ""0%"", ""icms"": {""estado"": ""7% a 18%, dependendo do estado""}, ""pis"": ""2.1%"", ""cofins"": ""9.65%""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0%"", ""ipi_saida"": ""0%"", ""pis_entrada"": ""1.65%"", ""pis_saida"": ""1.65%"", ""cofins_entrada"": ""7.6%"", ""cofins_saida"": ""7.6%"", ""cst_entrada"": ""00"", ""cst_saida"": ""00""}"
2025N00043,Nex-0.3-Preview-2024,2025-01-16T18:03:30.688004,carne,02.01.10.00,"Carcaças e meias-carcaças de bovino, frescas ou refrigeradas","[""Tipo de carne: bovina"", ""Forma de apresentação: carcaça ou meia-carcaça"", ""Conservação: fresca ou refrigerada""]","[""Carcaças e meias-carcaças de bovino""]","{""ipi"": ""0"", ""icms"": {}, ""pis"": ""Não informado"", ""cofins"": ""Não informado""}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""0"", ""ipi_saida"": ""0"", ""pis_entrada"": ""Não informado"", ""pis_saida"": ""Não informado"", ""cofins_entrada"": ""Não informado"", ""cofins_saida"": ""Não informado"", ""cst_entrada"": ""Não informado"", ""cst_saida"": ""Não informado""}"
2025N00044,Nexcode-0.1-BETA,2025-01-16T18:04:41.283630,carne,0201.00.00,"Carnes de animais da espécie bovina, frescas ou refrigeradas.","[""Tipo de carne (bovina, suína, aves, etc.)"", ""Corte da carne"", ""Fresca ou refrigerada"", ""Peso líquido"", ""Embalagem""]","[""Ex 01 - Carnes de animais da espécie bovina, frescas ou refrigeradas""]","{""ipi"": 0, ""icms"": {""estado"": ""Variável conforme o estado""}, ""pis"": 0, ""cofins"": 0}","{""monofasico"": false, ""aliquota_zero"": false, ""ipi_entrada"": ""não tributado"", ""ipi_saida"": ""não tributado"", ""pis_entrada"": ""Variável conforme o regime tributário"", ""pis_saida"": ""Variável conforme o regime tributário"", ""cofins_entrada"": ""Variável conforme o regime tributário"", ""cofins_saida"": ""Variável conforme o regime tributário"", ""cst_entrada"": ""Variável conforme o regime tributário"", ""cst_saida"": ""Variável conforme o regime tributário""}"
